Time,TIMESTAMP,SiteOutput,CorrConcA_Avg,CorrConcB_Avg,Corrdel13C_Avg
12:23:00,10/26/2013 12:23:00,3,772.8933,8.327839,-36.20936
12:23:20,10/26/2013 12:23:20,4,322.3434,3.474247,-35.92271
12:23:40,10/26/2013 12:23:40,17,403.5648,4.487439,-5.384782
12:24:00,10/26/2013 12:24:00,18,384.5799,4.27989,-4.558096
12:24:20,10/26/2013 12:24:20,3,773.2888,8.332439,-36.17014
12:24:40,10/26/2013 12:24:40,4,322.5463,3.476554,-35.88956
12:25:00,10/26/2013 12:25:00,17,403.6366,4.488429,-5.34225
12:25:20,10/26/2013 12:25:20,18,384.6254,4.280074,-4.63297
12:25:40,10/26/2013 12:25:40,3,773.402,8.333323,-36.20914
12:26:00,10/26/2013 12:26:00,4,322.6133,3.477242,-35.89872
12:26:20,10/26/2013 12:26:20,17,403.5057,4.486645,-5.415044
12:26:40,10/26/2013 12:26:40,18,384.4876,4.278892,-4.551478
12:27:00,10/26/2013 12:27:00,3,773.5251,8.334133,-36.2688
12:27:20,10/26/2013 12:27:20,4,322.6214,3.477516,-35.84721
12:27:40,10/26/2013 12:27:40,17,403.5182,4.487329,-5.294196
12:28:00,10/26/2013 12:28:00,18,384.4283,4.277667,-4.68296
12:28:20,10/26/2013 12:28:20,3,773.3915,8.333473,-36.17864
12:28:40,10/26/2013 12:28:40,4,322.6119,3.477483,-35.82811
12:29:00,10/26/2013 12:29:00,17,403.5464,4.486704,-5.502222
12:29:20,10/26/2013 12:29:20,18,384.2948,4.276661,-4.571138
12:29:40,10/26/2013 12:29:40,3,773.4196,8.333399,-36.22229
12:30:00,10/26/2013 12:30:00,4,322.6281,3.477161,-35.96563
12:30:20,10/26/2013 12:30:20,17,403.5347,4.487197,-5.364021
12:30:40,10/26/2013 12:30:40,18,384.2394,4.276213,-4.531884
12:51:00,10/26/2013 12:51:00,3,773.317,8.332912,-36.15072
12:51:20,10/26/2013 12:51:20,4,322.6168,3.476965,-35.98637
12:51:40,10/26/2013 12:51:40,17,400.1502,4.449565,-5.363476
12:52:00,10/26/2013 12:52:00,18,360.7871,4.016452,-4.224487
12:52:20,10/26/2013 12:52:20,3,773.4374,8.332875,-36.30497
12:52:40,10/26/2013 12:52:40,4,322.6179,3.477371,-35.87701
12:53:00,10/26/2013 12:53:00,17,400.9832,4.458468,-5.443612
12:53:20,10/26/2013 12:53:20,18,361.2104,4.021099,-4.240484
12:53:40,10/26/2013 12:53:40,3,773.4174,8.333648,-36.19062
12:54:00,10/26/2013 12:54:00,4,322.6187,3.477141,-35.94312
12:54:20,10/26/2013 12:54:20,17,400.915,4.458119,-5.352303
12:54:40,10/26/2013 12:54:40,18,361.018,4.01921,-4.177934
12:55:00,10/26/2013 12:55:00,3,773.3771,8.332369,-36.28838
12:55:20,10/26/2013 12:55:20,4,322.6169,3.477229,-35.91321
12:55:40,10/26/2013 12:55:40,17,401.0289,4.459895,-5.238881
12:56:00,10/26/2013 12:56:00,18,360.8073,4.017512,-4.017343
12:56:20,10/26/2013 12:56:20,3,773.4285,8.335768,-35.95925
12:56:40,10/26/2013 12:56:40,4,322.6239,3.478047,-35.70723
12:57:00,10/26/2013 12:57:00,17,400.9973,4.459218,-5.311314
12:57:20,10/26/2013 12:57:20,18,360.5268,4.013915,-4.134974
13:23:00,10/26/2013 13:23:00,3,773.5978,8.334208,-36.35076
13:23:20,10/26/2013 13:23:20,4,322.8904,3.480223,-35.90066
13:23:40,10/26/2013 13:23:40,17,401.839,4.468896,-5.240509
13:24:00,10/26/2013 13:24:00,18,385.9472,4.293278,-4.9819
13:24:20,10/26/2013 13:24:20,3,773.4341,8.33424,-36.14315
13:24:40,10/26/2013 13:24:40,4,322.5844,3.477054,-35.86452
13:25:00,10/26/2013 13:25:00,17,401.6959,4.467118,-5.282305
13:25:20,10/26/2013 13:25:20,18,385.1645,4.285046,-4.871614
13:25:40,10/26/2013 13:25:40,3,773.255,8.3324,-36.13264
13:26:00,10/26/2013 13:26:00,4,322.4293,3.475671,-35.78477
13:26:20,10/26/2013 13:26:20,17,401.8563,4.468599,-5.349504
13:26:40,10/26/2013 13:26:40,18,384.5371,4.27763,-4.972929
13:27:00,10/26/2013 13:27:00,3,773.581,8.334977,-36.24086
13:27:20,10/26/2013 13:27:20,4,322.7338,3.478544,-35.89808
13:27:40,10/26/2013 13:27:40,17,401.9937,4.47046,-5.27527
13:28:00,10/26/2013 13:28:00,18,383.7339,4.269031,-4.894925
13:28:20,10/26/2013 13:28:20,3,773.5806,8.336591,-36.05361
13:28:40,10/26/2013 13:28:40,4,323.0246,3.482655,-35.62759
13:29:00,10/26/2013 13:29:00,17,401.6246,4.465964,-5.362619
13:29:20,10/26/2013 13:29:20,18,382.3954,4.254284,-4.861113
13:29:40,10/26/2013 13:29:40,3,772.9374,8.328213,-36.22115
13:30:00,10/26/2013 13:30:00,4,321.8782,3.469317,-35.89944
13:30:20,10/26/2013 13:30:20,17,401.6494,4.466111,-5.391218
13:30:40,10/26/2013 13:30:40,18,382.4223,4.254005,-4.996413
